#Method,URI Resource Path,Path Parameter,Query Parameter,Encrypted IBS Authorization/Effective UserID,Data Cipher,Secret Cipher,Comments
PUT,/IBSCB/v2/cards/{CBCrdNbr}/activation,CBCrdNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCB/v2/cards/{CBCrdNbr}/negative-file,CBCrdNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCB/v2/cards/{CBCrdNbr}/negative-file-ivr,CBCrdNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCB/v2/cards/{CBCrdNbr}/pins-ivr,CBCrdNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCB/v2/cards/{CBCrdNbr}/pins-ivr,CBCrdNbr,CBPin|CBOrgnPh,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
PUT,/IBSCB/v2/cards/{CrdNbr}/pins,CrdNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCB/v2/dda-accounts/{DDAAcctNbr}/pending-transactions,DDAAcctNbr,CrdNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCB/v2/savings-accounts/{SavAcctNbr}/pending-transactions,SavAcctNbr,CrdNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSDP/v2/transfers,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSCI/v2/customers/{CICustNbr}/profile,CICustNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSLN/v2/accounts/{AcctNbr}/notes,AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSDP/v2/accounts/{AcctNbr}/certificates-of-deposit,AcctNbr,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
GET,/IBSFM/v2/transfer-relationships/{FMReceivingAcctNbr}/{FMApplCde},FMReceivingAcctNbr,FMSubsidiaryApplNbr|FMRepositionAcctNbr,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
POST,/IBSCI/v2/miscellaneous-accounts,NA,NA,Y,AES/CBC/PKCS5Padding,RSA/ECB/PKCS1Padding,Covered
